"Country_Name";"Country_Code";"Indicator_Code";"Indicator_Name";"Debt"
"Belarus";"BLR";"DT.GPA.DPPG";"Average grace period on new external debt commitments (years)";70.8048
"Belarus";"BLR";"DT.GRE.DPPG";"Average grant element on new external debt commitments (%)";13.5307
"Belarus";"BLR";"DT.INR.DPPG";"Average interest on new external debt commitments (%)";118.8882
"Belarus";"BLR";"DT.MAT.DPPG";"Average maturity on new external debt commitments (years)";217.5471
"Belarus";"BLR";"DT.DOD.ALLC.ZS";"Concessional debt (% of total external debt)";92.2914
"Belarus";"BLR";"BN.CAB.XOKA.CD";"Current account balance (current US$)";-48167300000.0
"Belarus";"BLR";"DT.DSB.DPPG.CD";"Debt buyback (current US$)";0.0
"Belarus";"BLR";"DT.DOD.MDRI.CD";"Debt forgiveness grants (current US$)";0.0
"Belarus";"BLR";"DT.DFR.DPPG.CD";"Debt forgiveness or reduction (current US$)";-568377587.5
"Belarus";"BLR";"DT.DSF.DPPG.CD";"Debt stock reduction (current US$)";0.0
"Belarus";"BLR";"DT.DXR.DPPG.CD";"Debt stock rescheduled (current US$)";55919595.2
"Belarus";"BLR";"DT.DOD.DECT.GN.ZS";"External debt stocks (% of GNI)";662.1574184
"Belarus";"BLR";"NY.GNP.MKTP.CD";"GNI (current US$)";821452112514.0
"Belarus";"BLR";"DT.DIS.IDAG.CD";"IDA grants (current US$)";0.0
"Belarus";"BLR";"DT.IXF.DPPG.CD";"Interest forgiven (current US$)";14491000.0
"Belarus";"BLR";"DT.INT.DECT.GN.ZS";"Interest payments on external debt (% of GNI)";20.760976882
"Belarus";"BLR";"DT.IXR.DPPG.CD";"Interest rescheduled (capitalized) (current US$)";4937636.7
"Belarus";"BLR";"DT.DOD.MLAT.ZS";"Multilateral debt (% of total external debt)";151.03
"Belarus";"BLR";"DT.IXA.DPPG.CD.CG";"Net change in interest arrears (current US$)";2135000.0
"Belarus";"BLR";"DT.DOD.PVLX.GN.ZS";"Present value of external debt (% of GNI)";0.0
"Belarus";"BLR";"DT.DOD.PVLX.CD";"Present value of external debt (current US$)";0.0
"Belarus";"BLR";"BX.KLT.DREM.CD.DT";"Primary income on FDI (current US$)";11427300000.0
"Belarus";"BLR";"DT.AXF.DPPG.CD";"Principal forgiven (current US$)";568377587.5
"Belarus";"BLR";"DT.AXR.DPPG.CD";"Principal rescheduled (current US$)";19336147.5
"Belarus";"BLR";"DT.DOD.DSTC.ZS";"Short-term debt (% of total external debt)";992.294
"Belarus";"BLR";"BX.GRT.TECH.CD.DT";"Technical cooperation grants (current US$)";640990000.0
"Belarus";"BLR";"DT.TXR.DPPG.CD";"Total amount of debt rescheduled (current US$)";467267736.8
"Belarus";"BLR";"DT.DOD.DECT.CD.CG";"Total change in external debt stocks (current US$)";35924823450.3
"Belarus";"BLR";"FI.RES.TOTL.DT.ZS";"Total reserves (% of total external debt)";373.450139429
"Belarus";"BLR";"FI.RES.TOTL.MO";"Total reserves in months of imports";19.213853222
"Belize";"BLZ";"DT.GPA.DPPG";"Average grace period on new external debt commitments (years)";222.0536
"Belize";"BLZ";"DT.GRE.DPPG";"Average grant element on new external debt commitments (%)";123.0648
"Belize";"BLZ";"DT.INR.DPPG";"Average interest on new external debt commitments (%)";224.045
"Belize";"BLZ";"DT.MAT.DPPG";"Average maturity on new external debt commitments (years)";804.8291
"Belize";"BLZ";"DT.DOD.ALLC.ZS";"Concessional debt (% of total external debt)";497.0687
"Belize";"BLZ";"BN.CAB.XOKA.CD";"Current account balance (current US$)";-1987988813.86
